date,year,week,total_commits,unique_authors,unique_props_contributors,total_lines_added,total_lines_deleted
2003-03-31,2003,14,249,3,0,24208,13409
2003-04-07,2003,15,246,2,0,16460,13344
2003-04-21,2003,17,255,2,0,16548,13596
2003-05-05,2003,19,265,2,0,16937,13736
2003-05-12,2003,20,270,2,0,17835,14233
2003-05-19,2003,21,282,2,0,16322,14389
2003-05-26,2003,22,219,5,0,8994,6419
2003-06-02,2003,23,195,5,0,7645,4847
2003-06-09,2003,24,157,5,0,7345,4472
2003-06-16,2003,25,126,5,0,5294,3230
2003-06-23,2003,26,127,5,0,4400,2763
2003-06-30,2003,27,129,5,0,4475,2661
2003-07-07,2003,28,147,5,0,5468,3273
2003-07-14,2003,29,164,5,0,5579,3403
2003-07-21,2003,30,182,5,0,7758,5679
2003-07-28,2003,31,179,5,0,7525,5665
2003-08-04,2003,32,191,6,0,7722,5171
2003-08-11,2003,33,201,6,0,7896,6246
2003-08-18,2003,34,210,6,0,7974,5963
2003-08-25,2003,35,207,6,0,9144,6954
2003-09-01,2003,36,204,6,0,9077,6981
2003-09-08,2003,37,203,6,0,9226,7074
2003-09-15,2003,38,214,6,0,10143,7952
2003-09-22,2003,39,234,6,0,10972,8910
2003-09-29,2003,40,236,6,0,11006,8822
2003-10-06,2003,41,244,6,0,12981,9591
2003-10-13,2003,42,270,7,0,12650,9545
2003-10-20,2003,43,295,7,0,12520,9403
2003-10-27,2003,44,301,6,0,11575,9486
2003-11-03,2003,45,288,6,0,10772,8624
2003-11-10,2003,46,290,7,0,13739,11849
2003-11-17,2003,47,296,8,0,12708,11167
2003-11-24,2003,48,317,8,0,13656,12218
2003-12-01,2003,49,350,8,0,14262,12662
2003-12-08,2003,50,372,8,0,14069,12145
2003-12-15,2003,51,352,8,0,13228,11142
2003-12-22,2003,52,344,8,0,12474,10836
2003-12-29,2004,1,325,8,0,10538,10005
2004-01-05,2004,2,306,8,0,9400,8353
2004-01-12,2004,3,302,7,0,9294,8438
2004-01-19,2004,4,277,7,0,9309,8408
2004-01-26,2004,5,301,7,0,10595,8856
2004-02-02,2004,6,355,7,1,10711,6982
2004-02-09,2004,7,375,7,1,11648,8128
2004-02-16,2004,8,381,6,1,11225,7497
2004-02-23,2004,9,380,6,1,10725,7124
2004-03-01,2004,10,397,6,1,12024,7403
2004-03-08,2004,11,407,6,1,13895,8974
2004-03-15,2004,12,414,6,1,14368,9283
2004-03-22,2004,13,437,7,1,14555,9596
2004-03-29,2004,14,423,7,1,13983,8909
2004-04-05,2004,15,394,7,1,13793,8735
2004-04-12,2004,16,391,7,1,13643,8542
2004-04-19,2004,17,364,6,1,12452,7830
2004-04-26,2004,18,291,5,0,8214,5806
2004-05-03,2004,19,263,5,0,6943,4486
2004-05-10,2004,20,253,5,1,6871,4196
2004-05-17,2004,21,230,5,1,7131,4444
2004-05-24,2004,22,183,5,1,5490,3835
2004-05-31,2004,23,182,5,1,4139,2683
2004-06-07,2004,24,183,5,1,4303,2338
2004-06-14,2004,25,190,5,1,6117,5766
2004-06-21,2004,26,197,5,1,6894,5869
2004-06-28,2004,27,250,6,1,10400,9202
2004-07-05,2004,28,262,5,1,10442,10873
2004-07-12,2004,29,270,5,1,10773,10954
2004-07-19,2004,30,304,5,1,11685,12017
2004-07-26,2004,31,324,5,1,12180,12502
2004-08-02,2004,32,322,5,0,12562,13236
2004-08-09,2004,33,319,5,0,12018,12804
2004-08-16,2004,34,310,5,0,11610,12743
2004-08-23,2004,35,300,5,0,11038,12244
2004-08-30,2004,36,300,6,0,10955,12628
2004-09-06,2004,37,289,6,0,9066,8994
2004-09-13,2004,38,273,6,0,8545,9144
2004-09-20,2004,39,243,6,0,5494,6193
2004-09-27,2004,40,271,6,0,7676,4906
2004-10-04,2004,41,275,6,0,7403,4867
2004-10-11,2004,42,266,6,0,9291,5323
2004-10-18,2004,43,265,6,0,10831,6730
2004-10-25,2004,44,269,6,0,10058,5996
2004-11-01,2004,45,282,6,0,10214,6074
2004-11-08,2004,46,317,6,0,11038,6400
2004-11-15,2004,47,382,6,0,11808,7051
