date,year,week,total_commits,unique_authors,unique_props_contributors,total_lines_added,total_lines_deleted
2003-03-31,2003,14,5,2,0,7758,75
2003-04-07,2003,15,2,1,0,28,27
2003-04-21,2003,17,5,2,0,284,110
2003-05-05,2003,19,8,2,0,172,143
2003-05-12,2003,20,3,1,0,2180,13
2003-05-19,2003,21,79,2,0,8427,8935
2003-05-26,2003,22,45,2,0,1821,1645
2003-06-02,2003,23,48,2,0,456,427
2003-06-09,2003,24,36,2,0,2117,1292
2003-06-16,2003,25,11,2,0,946,506
2003-06-23,2003,26,5,1,0,15,234
2003-06-30,2003,27,2,1,0,4,2
2003-07-07,2003,28,2,1,0,10,10
2003-07-14,2003,29,11,2,0,116,279
2003-07-21,2003,30,15,2,0,673,250
2003-07-28,2003,31,13,2,0,1070,640
2003-08-04,2003,32,15,2,0,667,169
2003-08-11,2003,33,16,4,0,1099,965
2003-08-18,2003,34,21,1,0,472,73
2003-08-25,2003,35,10,3,0,156,52
2003-09-01,2003,36,5,2,0,66,50
2003-09-08,2003,37,12,4,0,52,39
2003-09-15,2003,38,7,3,0,90,132
2003-09-22,2003,39,20,2,0,997,614
2003-09-29,2003,40,19,4,0,121,140
2003-10-06,2003,41,29,3,0,2295,2555
2003-10-13,2003,42,12,3,0,440,236
2003-10-20,2003,43,25,5,0,1267,146
2003-10-27,2003,44,25,3,0,841,1244
2003-11-03,2003,45,25,4,0,1177,682
2003-11-10,2003,46,18,3,0,1642,1064
2003-11-17,2003,47,7,3,0,89,79
2003-11-24,2003,48,4,2,0,215,143
2003-12-01,2003,49,23,2,0,969,917
2003-12-08,2003,50,27,4,0,919,1090
2003-12-15,2003,51,22,3,0,1031,526
2003-12-22,2003,52,27,3,0,2096,909
2003-12-29,2004,1,55,5,0,1964,2509
2004-01-05,2004,2,37,5,0,310,94
2004-01-12,2004,3,31,3,0,322,229
2004-01-19,2004,4,12,3,0,38,382
2004-01-26,2004,5,27,5,0,4144,3907
2004-02-02,2004,6,24,6,0,611,382
2004-02-09,2004,7,28,4,0,1037,1130
2004-02-16,2004,8,37,4,0,821,587
2004-02-23,2004,9,45,3,0,776,400
2004-03-01,2004,10,7,3,0,78,87
2004-03-08,2004,11,14,3,0,277,220
2004-03-15,2004,12,8,3,0,160,78
2004-03-22,2004,13,36,5,0,826,857
2004-03-29,2004,14,33,5,0,204,179
2004-04-05,2004,15,6,2,0,337,199
2004-04-12,2004,16,36,4,0,1324,830
2004-04-19,2004,17,81,3,1,4260,2033
2004-04-26,2004,18,44,3,0,1548,1528
2004-05-03,2004,19,34,3,0,614,499
